Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T01:08:33-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T01:08:33-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T01:09:13-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T01:09:13-06:00" level=info msg="server started on time: 2020-02-17 01:09:13.305145587 -0600 CST m=+39.793749102"
time="2020-02-17T01:09:23-06:00" level=debug msg="gets done 472324, sets done 0, prefix done 0"
time="2020-02-17T01:09:33-06:00" level=debug msg="gets done 1108448, sets done 0, prefix done 0"
time="2020-02-17T01:09:43-06:00" level=debug msg="gets done 1766764, sets done 0, prefix done 0"
time="2020-02-17T01:09:53-06:00" level=debug msg="gets done 2416065, sets done 0, prefix done 0"
time="2020-02-17T01:10:03-06:00" level=debug msg="gets done 3068981, sets done 0, prefix done 0"
time="2020-02-17T01:10:13-06:00" level=debug msg="gets done 3726091, sets done 0, prefix done 0"
time="2020-02-17T01:10:23-06:00" level=debug msg="gets done 4384163, sets done 0, prefix done 0"
time="2020-02-17T01:10:33-06:00" level=debug msg="gets done 5041961, sets done 0, prefix done 0"
time="2020-02-17T01:10:43-06:00" level=debug msg="gets done 5691071, sets done 0, prefix done 0"
time="2020-02-17T01:10:53-06:00" level=debug msg="gets done 6352163, sets done 0, prefix done 0"
time="2020-02-17T01:11:03-06:00" level=debug msg="gets done 7008240, sets done 0, prefix done 0"
time="2020-02-17T01:11:13-06:00" level=debug msg="gets done 7663321, sets done 0, prefix done 0"
time="2020-02-17T01:11:23-06:00" level=debug msg="gets done 8322348, sets done 0, prefix done 0"
time="2020-02-17T01:11:33-06:00" level=debug msg="gets done 8975851, sets done 0, prefix done 0"
time="2020-02-17T01:11:43-06:00" level=debug msg="gets done 9631170, sets done 0, prefix done 0"
time="2020-02-17T01:11:53-06:00" level=debug msg="gets done 10288718, sets done 0, prefix done 0"
time="2020-02-17T01:12:03-06:00" level=debug msg="gets done 10945773, sets done 0, prefix done 0"
time="2020-02-17T01:12:13-06:00" level=debug msg="gets done 11602757, sets done 0, prefix done 0"
time="2020-02-17T01:12:23-06:00" level=debug msg="gets done 11759778, sets done 4654, prefix done 0"
time="2020-02-17T01:12:33-06:00" level=debug msg="gets done 11767156, sets done 11734, prefix done 0"
time="2020-02-17T01:12:43-06:00" level=debug msg="gets done 11774354, sets done 18848, prefix done 0"
time="2020-02-17T01:12:53-06:00" level=debug msg="gets done 11782088, sets done 25860, prefix done 0"
time="2020-02-17T01:13:03-06:00" level=debug msg="gets done 11789426, sets done 32771, prefix done 0"
time="2020-02-17T01:13:13-06:00" level=debug msg="gets done 11796814, sets done 39818, prefix done 0"
time="2020-02-17T01:13:23-06:00" level=debug msg="gets done 11804068, sets done 46981, prefix done 0"
time="2020-02-17T01:13:33-06:00" level=debug msg="gets done 11810364, sets done 54076, prefix done 0"
time="2020-02-17T01:13:43-06:00" level=debug msg="gets done 11817298, sets done 61145, prefix done 0"
time="2020-02-17T01:13:53-06:00" level=debug msg="gets done 11823934, sets done 68288, prefix done 0"
time="2020-02-17T01:14:03-06:00" level=debug msg="gets done 11830664, sets done 75391, prefix done 0"
time="2020-02-17T01:14:13-06:00" level=debug msg="gets done 11838405, sets done 82407, prefix done 0"
time="2020-02-17T01:14:23-06:00" level=debug msg="gets done 11846023, sets done 89503, prefix done 0"
time="2020-02-17T01:14:33-06:00" level=debug msg="gets done 11853518, sets done 96710, prefix done 0"
time="2020-02-17T01:14:43-06:00" level=debug msg="gets done 11861063, sets done 103713, prefix done 0"
time="2020-02-17T01:14:53-06:00" level=debug msg="gets done 11868162, sets done 110880, prefix done 0"
time="2020-02-17T01:15:03-06:00" level=debug msg="gets done 11876391, sets done 117915, prefix done 0"
time="2020-02-17T01:15:13-06:00" level=debug msg="gets done 11881765, sets done 123571, prefix done 0"
time="2020-02-17T01:15:23-06:00" level=debug msg="gets done 11882983, sets done 124591, prefix done 0"
time="2020-02-17T01:15:33-06:00" level=debug msg="gets done 11882983, sets done 124591, prefix done 0"
time="2020-02-17T01:15:43-06:00" level=debug msg="gets done 11882983, sets done 124591, prefix done 0"
time="2020-02-17T01:15:53-06:00" level=debug msg="gets done 11882983, sets done 124591, prefix done 0"
