Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T01:20:54-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T01:20:54-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T01:31:43-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:31:53-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:03-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:13-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:23-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:33-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:43-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:32:53-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:03-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:13-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:23-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:33-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:43-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:33:53-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:03-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:13-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:23-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:33-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:43-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:34:53-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:03-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:13-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:23-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:33-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:43-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:35:53-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:36:03-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:36:13-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
time="2020-02-17T01:36:23-06:00" level=debug msg="gets done 16397118, sets done 211893, prefix done 0"
