Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T02:43:41-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T02:43:41-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T02:44:22-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T02:44:22-06:00" level=info msg="server started on time: 2020-02-17 02:44:22.790133983 -0600 CST m=+41.142293175"
time="2020-02-17T02:44:32-06:00" level=debug msg="gets done 23507, sets done 0, prefix done 0"
time="2020-02-17T02:44:42-06:00" level=debug msg="gets done 52594, sets done 0, prefix done 0"
time="2020-02-17T02:44:52-06:00" level=debug msg="gets done 81365, sets done 0, prefix done 0"
time="2020-02-17T02:45:02-06:00" level=debug msg="gets done 110079, sets done 0, prefix done 0"
time="2020-02-17T02:45:12-06:00" level=debug msg="gets done 138970, sets done 0, prefix done 0"
time="2020-02-17T02:45:22-06:00" level=debug msg="gets done 167688, sets done 0, prefix done 0"
time="2020-02-17T02:45:32-06:00" level=debug msg="gets done 196581, sets done 0, prefix done 0"
time="2020-02-17T02:45:42-06:00" level=debug msg="gets done 225628, sets done 0, prefix done 0"
time="2020-02-17T02:45:52-06:00" level=debug msg="gets done 254959, sets done 0, prefix done 0"
time="2020-02-17T02:46:02-06:00" level=debug msg="gets done 284135, sets done 0, prefix done 0"
time="2020-02-17T02:46:12-06:00" level=debug msg="gets done 313384, sets done 0, prefix done 0"
time="2020-02-17T02:46:22-06:00" level=debug msg="gets done 342612, sets done 0, prefix done 0"
time="2020-02-17T02:46:32-06:00" level=debug msg="gets done 372009, sets done 0, prefix done 0"
time="2020-02-17T02:46:42-06:00" level=debug msg="gets done 401468, sets done 0, prefix done 0"
time="2020-02-17T02:46:52-06:00" level=debug msg="gets done 431088, sets done 0, prefix done 0"
time="2020-02-17T02:47:02-06:00" level=debug msg="gets done 460573, sets done 0, prefix done 0"
time="2020-02-17T02:47:12-06:00" level=debug msg="gets done 490016, sets done 0, prefix done 0"
time="2020-02-17T02:47:22-06:00" level=debug msg="gets done 518847, sets done 0, prefix done 0"
time="2020-02-17T02:47:32-06:00" level=debug msg="gets done 524686, sets done 433, prefix done 0"
time="2020-02-17T02:47:42-06:00" level=debug msg="gets done 525309, sets done 1034, prefix done 0"
time="2020-02-17T02:47:52-06:00" level=debug msg="gets done 525955, sets done 1634, prefix done 0"
time="2020-02-17T02:48:02-06:00" level=debug msg="gets done 526559, sets done 2216, prefix done 0"
time="2020-02-17T02:48:12-06:00" level=debug msg="gets done 527181, sets done 2818, prefix done 0"
time="2020-02-17T02:48:22-06:00" level=debug msg="gets done 527737, sets done 3424, prefix done 0"
time="2020-02-17T02:48:32-06:00" level=debug msg="gets done 528326, sets done 4028, prefix done 0"
time="2020-02-17T02:48:42-06:00" level=debug msg="gets done 528889, sets done 4626, prefix done 0"
time="2020-02-17T02:48:52-06:00" level=debug msg="gets done 529542, sets done 5224, prefix done 0"
time="2020-02-17T02:49:02-06:00" level=debug msg="gets done 530213, sets done 5827, prefix done 0"
time="2020-02-17T02:49:12-06:00" level=debug msg="gets done 530800, sets done 6426, prefix done 0"
time="2020-02-17T02:49:22-06:00" level=debug msg="gets done 531452, sets done 7027, prefix done 0"
time="2020-02-17T02:49:32-06:00" level=debug msg="gets done 532085, sets done 7628, prefix done 0"
time="2020-02-17T02:49:42-06:00" level=debug msg="gets done 532645, sets done 8218, prefix done 0"
time="2020-02-17T02:49:52-06:00" level=debug msg="gets done 533232, sets done 8816, prefix done 0"
time="2020-02-17T02:50:02-06:00" level=debug msg="gets done 533833, sets done 9418, prefix done 0"
time="2020-02-17T02:50:12-06:00" level=debug msg="gets done 534510, sets done 10013, prefix done 0"
time="2020-02-17T02:50:22-06:00" level=debug msg="gets done 535079, sets done 10613, prefix done 0"
time="2020-02-17T02:50:32-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:50:42-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:50:52-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:02-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:12-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:22-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:32-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:42-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:51:52-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:02-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:12-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:22-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:32-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:42-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:52:52-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:02-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:12-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:22-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:32-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:42-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:53:52-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:02-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:12-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:22-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:32-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:42-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:54:52-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:55:02-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:55:12-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
time="2020-02-17T02:55:22-06:00" level=debug msg="gets done 535262, sets done 10786, prefix done 0"
