Server Address host:port (eg. localhost:10000)10.10.1.2:10000
num_keys:  1048576 , value_size:  4096
Do you want to load data? num_keys=1048576, value_size=4096
1) Yes
2) No
#? 
==============================
=== EXP2 COLD TEST         ===
==============================

time="2020-02-17T03:33:38-06:00" level=info msg="trying to connect to server at 10.10.1.2:10000"
time="2020-02-17T03:33:38-06:00" level=info msg="connected to 10.10.1.2:10000"
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = transport is closing"
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
time="2020-02-17T03:33:38-06:00" level=error msg="called Get, got error rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing dial tcp 10.10.1.2:10000: connect: connection refused\""
