Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T01:50:50-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T01:50:50-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T01:51:29-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T01:51:29-06:00" level=info msg="server started on time: 2020-02-17 01:51:29.527868168 -0600 CST m=+39.315869203"
time="2020-02-17T01:51:39-06:00" level=debug msg="gets done 121663, sets done 0, prefix done 0"
time="2020-02-17T01:51:49-06:00" level=debug msg="gets done 1495738, sets done 0, prefix done 0"
time="2020-02-17T01:51:59-06:00" level=debug msg="gets done 2906349, sets done 0, prefix done 0"
time="2020-02-17T01:52:09-06:00" level=debug msg="gets done 4337978, sets done 0, prefix done 0"
time="2020-02-17T01:52:19-06:00" level=debug msg="gets done 5749974, sets done 0, prefix done 0"
time="2020-02-17T01:52:29-06:00" level=debug msg="gets done 7170161, sets done 0, prefix done 0"
time="2020-02-17T01:52:39-06:00" level=debug msg="gets done 8576607, sets done 0, prefix done 0"
time="2020-02-17T01:52:49-06:00" level=debug msg="gets done 9984557, sets done 0, prefix done 0"
time="2020-02-17T01:52:59-06:00" level=debug msg="gets done 11385861, sets done 0, prefix done 0"
time="2020-02-17T01:53:09-06:00" level=debug msg="gets done 12768944, sets done 0, prefix done 0"
time="2020-02-17T01:53:19-06:00" level=debug msg="gets done 14166219, sets done 0, prefix done 0"
time="2020-02-17T01:53:29-06:00" level=debug msg="gets done 15555449, sets done 0, prefix done 0"
time="2020-02-17T01:53:39-06:00" level=debug msg="gets done 16933502, sets done 0, prefix done 0"
time="2020-02-17T01:53:49-06:00" level=debug msg="gets done 18307514, sets done 0, prefix done 0"
time="2020-02-17T01:53:59-06:00" level=debug msg="gets done 19683281, sets done 0, prefix done 0"
time="2020-02-17T01:54:09-06:00" level=debug msg="gets done 21068803, sets done 0, prefix done 0"
time="2020-02-17T01:54:19-06:00" level=debug msg="gets done 22438439, sets done 0, prefix done 0"
time="2020-02-17T01:54:29-06:00" level=debug msg="gets done 23806669, sets done 0, prefix done 0"
time="2020-02-17T01:54:39-06:00" level=debug msg="gets done 25049335, sets done 0, prefix done 0"
time="2020-02-17T01:54:49-06:00" level=debug msg="gets done 25070886, sets done 24153, prefix done 0"
time="2020-02-17T01:54:59-06:00" level=debug msg="gets done 25097931, sets done 48800, prefix done 0"
time="2020-02-17T01:55:09-06:00" level=debug msg="gets done 25121423, sets done 73216, prefix done 0"
time="2020-02-17T01:55:19-06:00" level=debug msg="gets done 25149815, sets done 98917, prefix done 0"
time="2020-02-17T01:55:29-06:00" level=debug msg="gets done 25174879, sets done 122908, prefix done 0"
time="2020-02-17T01:55:39-06:00" level=debug msg="gets done 25197837, sets done 148159, prefix done 0"
time="2020-02-17T01:55:49-06:00" level=debug msg="gets done 25224496, sets done 173374, prefix done 0"
time="2020-02-17T01:55:59-06:00" level=debug msg="gets done 25252562, sets done 198142, prefix done 0"
time="2020-02-17T01:56:09-06:00" level=debug msg="gets done 25279759, sets done 223657, prefix done 0"
time="2020-02-17T01:56:19-06:00" level=debug msg="gets done 25307490, sets done 248227, prefix done 0"
time="2020-02-17T01:56:29-06:00" level=debug msg="gets done 25333118, sets done 273019, prefix done 0"
time="2020-02-17T01:56:39-06:00" level=debug msg="gets done 25359241, sets done 298116, prefix done 0"
time="2020-02-17T01:56:49-06:00" level=debug msg="gets done 25385030, sets done 322689, prefix done 0"
time="2020-02-17T01:56:59-06:00" level=debug msg="gets done 25410200, sets done 347915, prefix done 0"
time="2020-02-17T01:57:09-06:00" level=debug msg="gets done 25435735, sets done 372661, prefix done 0"
time="2020-02-17T01:57:19-06:00" level=debug msg="gets done 25459641, sets done 397274, prefix done 0"
time="2020-02-17T01:57:29-06:00" level=debug msg="gets done 25480850, sets done 422411, prefix done 0"
time="2020-02-17T01:57:39-06:00" level=debug msg="gets done 25501476, sets done 446986, prefix done 0"
