Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-16T22:49:30-06:00" level=debug msg="gets done 22729, sets done 1445, prefix done 0"
time="2020-02-16T22:49:40-06:00" level=debug msg="gets done 22831, sets done 1542, prefix done 0"
time="2020-02-16T22:49:50-06:00" level=debug msg="gets done 22916, sets done 1639, prefix done 0"
time="2020-02-16T22:50:00-06:00" level=debug msg="gets done 23046, sets done 1733, prefix done 0"
time="2020-02-16T22:50:10-06:00" level=debug msg="gets done 23145, sets done 1829, prefix done 0"
time="2020-02-16T22:50:20-06:00" level=debug msg="gets done 23230, sets done 1925, prefix done 0"
time="2020-02-16T22:50:30-06:00" level=debug msg="gets done 23331, sets done 2021, prefix done 0"
time="2020-02-16T22:50:40-06:00" level=debug msg="gets done 23416, sets done 2117, prefix done 0"
time="2020-02-16T22:50:50-06:00" level=debug msg="gets done 23501, sets done 2212, prefix done 0"
time="2020-02-16T22:51:00-06:00" level=debug msg="gets done 23595, sets done 2307, prefix done 0"
time="2020-02-16T22:51:10-06:00" level=debug msg="gets done 23688, sets done 2405, prefix done 0"
time="2020-02-16T22:51:20-06:00" level=debug msg="gets done 23785, sets done 2501, prefix done 0"
time="2020-02-16T22:51:30-06:00" level=debug msg="gets done 23887, sets done 2597, prefix done 0"
time="2020-02-16T22:51:40-06:00" level=debug msg="gets done 23981, sets done 2693, prefix done 0"
time="2020-02-16T22:51:50-06:00" level=debug msg="gets done 24053, sets done 2750, prefix done 0"
