Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T02:34:17-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T02:34:17-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T02:34:57-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T02:34:57-06:00" level=info msg="server started on time: 2020-02-17 02:34:57.637705626 -0600 CST m=+40.568760958"
time="2020-02-17T02:35:07-06:00" level=debug msg="gets done 47245, sets done 0, prefix done 0"
time="2020-02-17T02:35:17-06:00" level=debug msg="gets done 109538, sets done 0, prefix done 0"
time="2020-02-17T02:35:27-06:00" level=debug msg="gets done 171093, sets done 0, prefix done 0"
time="2020-02-17T02:35:37-06:00" level=debug msg="gets done 233325, sets done 0, prefix done 0"
time="2020-02-17T02:35:47-06:00" level=debug msg="gets done 297182, sets done 0, prefix done 0"
time="2020-02-17T02:35:57-06:00" level=debug msg="gets done 361525, sets done 0, prefix done 0"
time="2020-02-17T02:36:07-06:00" level=debug msg="gets done 426355, sets done 0, prefix done 0"
time="2020-02-17T02:36:17-06:00" level=debug msg="gets done 489463, sets done 0, prefix done 0"
time="2020-02-17T02:36:27-06:00" level=debug msg="gets done 552555, sets done 0, prefix done 0"
time="2020-02-17T02:36:37-06:00" level=debug msg="gets done 616993, sets done 0, prefix done 0"
time="2020-02-17T02:36:47-06:00" level=debug msg="gets done 681481, sets done 0, prefix done 0"
time="2020-02-17T02:36:57-06:00" level=debug msg="gets done 745845, sets done 0, prefix done 0"
time="2020-02-17T02:37:07-06:00" level=debug msg="gets done 811171, sets done 0, prefix done 0"
time="2020-02-17T02:37:17-06:00" level=debug msg="gets done 875924, sets done 0, prefix done 0"
time="2020-02-17T02:37:27-06:00" level=debug msg="gets done 939938, sets done 0, prefix done 0"
time="2020-02-17T02:37:37-06:00" level=debug msg="gets done 1005336, sets done 0, prefix done 0"
time="2020-02-17T02:37:47-06:00" level=debug msg="gets done 1070476, sets done 0, prefix done 0"
time="2020-02-17T02:37:57-06:00" level=debug msg="gets done 1134808, sets done 0, prefix done 0"
time="2020-02-17T02:38:07-06:00" level=debug msg="gets done 1150932, sets done 672, prefix done 0"
time="2020-02-17T02:38:17-06:00" level=debug msg="gets done 1151952, sets done 1654, prefix done 0"
time="2020-02-17T02:38:27-06:00" level=debug msg="gets done 1152909, sets done 2625, prefix done 0"
time="2020-02-17T02:38:37-06:00" level=debug msg="gets done 1153984, sets done 3601, prefix done 0"
time="2020-02-17T02:38:47-06:00" level=debug msg="gets done 1155008, sets done 4584, prefix done 0"
time="2020-02-17T02:38:57-06:00" level=debug msg="gets done 1156074, sets done 5598, prefix done 0"
time="2020-02-17T02:39:07-06:00" level=debug msg="gets done 1157000, sets done 6576, prefix done 0"
time="2020-02-17T02:39:17-06:00" level=debug msg="gets done 1157924, sets done 7554, prefix done 0"
time="2020-02-17T02:39:27-06:00" level=debug msg="gets done 1158858, sets done 8550, prefix done 0"
time="2020-02-17T02:39:37-06:00" level=debug msg="gets done 1159822, sets done 9546, prefix done 0"
time="2020-02-17T02:39:47-06:00" level=debug msg="gets done 1160924, sets done 10535, prefix done 0"
time="2020-02-17T02:39:57-06:00" level=debug msg="gets done 1161978, sets done 11498, prefix done 0"
time="2020-02-17T02:40:07-06:00" level=debug msg="gets done 1162976, sets done 12480, prefix done 0"
time="2020-02-17T02:40:17-06:00" level=debug msg="gets done 1163998, sets done 13453, prefix done 0"
time="2020-02-17T02:40:27-06:00" level=debug msg="gets done 1165092, sets done 14436, prefix done 0"
time="2020-02-17T02:40:37-06:00" level=debug msg="gets done 1166050, sets done 15428, prefix done 0"
time="2020-02-17T02:40:47-06:00" level=debug msg="gets done 1167005, sets done 16407, prefix done 0"
time="2020-02-17T02:40:57-06:00" level=debug msg="gets done 1167956, sets done 17402, prefix done 0"
time="2020-02-17T02:41:07-06:00" level=debug msg="gets done 1168288, sets done 17736, prefix done 0"
time="2020-02-17T02:41:17-06:00" level=debug msg="gets done 1168288, sets done 17736, prefix done 0"
