Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T02:05:40-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T02:05:40-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T02:06:20-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T02:06:20-06:00" level=info msg="server started on time: 2020-02-17 02:06:20.788543504 -0600 CST m=+40.618050630"
time="2020-02-17T02:06:30-06:00" level=debug msg="gets done 309629, sets done 0, prefix done 0"
time="2020-02-17T02:06:40-06:00" level=debug msg="gets done 1820050, sets done 0, prefix done 0"
time="2020-02-17T02:06:50-06:00" level=debug msg="gets done 3364323, sets done 0, prefix done 0"
time="2020-02-17T02:07:00-06:00" level=debug msg="gets done 4925149, sets done 0, prefix done 0"
time="2020-02-17T02:07:10-06:00" level=debug msg="gets done 6488918, sets done 0, prefix done 0"
time="2020-02-17T02:07:20-06:00" level=debug msg="gets done 8044734, sets done 0, prefix done 0"
time="2020-02-17T02:07:30-06:00" level=debug msg="gets done 9599581, sets done 0, prefix done 0"
time="2020-02-17T02:07:40-06:00" level=debug msg="gets done 11153878, sets done 0, prefix done 0"
time="2020-02-17T02:07:50-06:00" level=debug msg="gets done 12705196, sets done 0, prefix done 0"
time="2020-02-17T02:08:00-06:00" level=debug msg="gets done 14246775, sets done 0, prefix done 0"
time="2020-02-17T02:08:10-06:00" level=debug msg="gets done 15781963, sets done 0, prefix done 0"
time="2020-02-17T02:08:20-06:00" level=debug msg="gets done 17333871, sets done 0, prefix done 0"
time="2020-02-17T02:08:30-06:00" level=debug msg="gets done 18879222, sets done 0, prefix done 0"
time="2020-02-17T02:08:40-06:00" level=debug msg="gets done 20419879, sets done 0, prefix done 0"
time="2020-02-17T02:08:50-06:00" level=debug msg="gets done 21958043, sets done 0, prefix done 0"
time="2020-02-17T02:09:00-06:00" level=debug msg="gets done 23495238, sets done 0, prefix done 0"
time="2020-02-17T02:09:10-06:00" level=debug msg="gets done 25038842, sets done 0, prefix done 0"
time="2020-02-17T02:09:20-06:00" level=debug msg="gets done 26579869, sets done 0, prefix done 0"
time="2020-02-17T02:09:30-06:00" level=debug msg="gets done 27796882, sets done 3618, prefix done 0"
time="2020-02-17T02:09:40-06:00" level=debug msg="gets done 27828257, sets done 39657, prefix done 0"
time="2020-02-17T02:09:50-06:00" level=debug msg="gets done 27866630, sets done 77245, prefix done 0"
time="2020-02-17T02:10:00-06:00" level=debug msg="gets done 27905289, sets done 114156, prefix done 0"
time="2020-02-17T02:10:10-06:00" level=debug msg="gets done 27945111, sets done 151026, prefix done 0"
time="2020-02-17T02:10:20-06:00" level=debug msg="gets done 27980347, sets done 186539, prefix done 0"
time="2020-02-17T02:10:30-06:00" level=debug msg="gets done 28022682, sets done 224363, prefix done 0"
time="2020-02-17T02:10:40-06:00" level=debug msg="gets done 28059283, sets done 262971, prefix done 0"
time="2020-02-17T02:10:50-06:00" level=debug msg="gets done 28093435, sets done 299534, prefix done 0"
time="2020-02-17T02:11:00-06:00" level=debug msg="gets done 28132199, sets done 336912, prefix done 0"
time="2020-02-17T02:11:10-06:00" level=debug msg="gets done 28170192, sets done 373670, prefix done 0"
time="2020-02-17T02:11:20-06:00" level=debug msg="gets done 28214886, sets done 410499, prefix done 0"
time="2020-02-17T02:11:30-06:00" level=debug msg="gets done 28252956, sets done 446121, prefix done 0"
time="2020-02-17T02:11:40-06:00" level=debug msg="gets done 28289165, sets done 481747, prefix done 0"
time="2020-02-17T02:11:50-06:00" level=debug msg="gets done 28334749, sets done 519953, prefix done 0"
time="2020-02-17T02:12:00-06:00" level=debug msg="gets done 28369883, sets done 554941, prefix done 0"
time="2020-02-17T02:12:10-06:00" level=debug msg="gets done 28405936, sets done 591918, prefix done 0"
time="2020-02-17T02:12:20-06:00" level=debug msg="gets done 28448192, sets done 627725, prefix done 0"
time="2020-02-17T02:12:30-06:00" level=debug msg="gets done 28478387, sets done 660618, prefix done 0"
time="2020-02-17T02:12:40-06:00" level=debug msg="gets done 28478387, sets done 660618, prefix done 0"
time="2020-02-17T02:12:50-06:00" level=debug msg="gets done 28478387, sets done 660618, prefix done 0"
