Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T01:37:06-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T01:37:06-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T01:37:46-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T01:37:46-06:00" level=info msg="server started on time: 2020-02-17 01:37:46.463828792 -0600 CST m=+40.167235744"
time="2020-02-17T01:37:56-06:00" level=debug msg="gets done 668552, sets done 0, prefix done 0"
time="2020-02-17T01:38:06-06:00" level=debug msg="gets done 1692132, sets done 0, prefix done 0"
time="2020-02-17T01:38:16-06:00" level=debug msg="gets done 2751757, sets done 0, prefix done 0"
time="2020-02-17T01:38:26-06:00" level=debug msg="gets done 3800249, sets done 0, prefix done 0"
time="2020-02-17T01:38:36-06:00" level=debug msg="gets done 4859830, sets done 0, prefix done 0"
time="2020-02-17T01:38:46-06:00" level=debug msg="gets done 5910713, sets done 0, prefix done 0"
time="2020-02-17T01:38:56-06:00" level=debug msg="gets done 6947030, sets done 0, prefix done 0"
time="2020-02-17T01:39:06-06:00" level=debug msg="gets done 7980707, sets done 0, prefix done 0"
time="2020-02-17T01:39:16-06:00" level=debug msg="gets done 9027759, sets done 0, prefix done 0"
time="2020-02-17T01:39:26-06:00" level=debug msg="gets done 10067721, sets done 0, prefix done 0"
time="2020-02-17T01:39:36-06:00" level=debug msg="gets done 11116691, sets done 0, prefix done 0"
time="2020-02-17T01:39:46-06:00" level=debug msg="gets done 12159365, sets done 0, prefix done 0"
time="2020-02-17T01:39:56-06:00" level=debug msg="gets done 13201088, sets done 0, prefix done 0"
time="2020-02-17T01:40:06-06:00" level=debug msg="gets done 14241632, sets done 0, prefix done 0"
time="2020-02-17T01:40:16-06:00" level=debug msg="gets done 15287543, sets done 0, prefix done 0"
time="2020-02-17T01:40:26-06:00" level=debug msg="gets done 16334180, sets done 0, prefix done 0"
