Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T00:35:21-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T00:35:21-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T00:36:01-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T00:36:01-06:00" level=info msg="server started on time: 2020-02-17 00:36:01.511406868 -0600 CST m=+39.645122321"
time="2020-02-17T00:36:11-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-17T00:36:21-06:00" level=debug msg="gets done 0, sets done 0, prefix done 0"
time="2020-02-17T00:36:31-06:00" level=debug msg="gets done 109393, sets done 0, prefix done 0"
time="2020-02-17T00:36:41-06:00" level=debug msg="gets done 229594, sets done 0, prefix done 0"
time="2020-02-17T00:36:51-06:00" level=debug msg="gets done 347962, sets done 0, prefix done 0"
time="2020-02-17T00:37:01-06:00" level=debug msg="gets done 481534, sets done 0, prefix done 0"
time="2020-02-17T00:37:11-06:00" level=debug msg="gets done 623441, sets done 0, prefix done 0"
time="2020-02-17T00:37:21-06:00" level=debug msg="gets done 764188, sets done 0, prefix done 0"
time="2020-02-17T00:37:31-06:00" level=debug msg="gets done 918935, sets done 0, prefix done 0"
time="2020-02-17T00:37:41-06:00" level=debug msg="gets done 1067807, sets done 0, prefix done 0"
time="2020-02-17T00:37:51-06:00" level=debug msg="gets done 1210255, sets done 0, prefix done 0"
time="2020-02-17T00:38:01-06:00" level=debug msg="gets done 1350564, sets done 0, prefix done 0"
time="2020-02-17T00:38:11-06:00" level=debug msg="gets done 1496850, sets done 0, prefix done 0"
time="2020-02-17T00:38:21-06:00" level=debug msg="gets done 1644947, sets done 0, prefix done 0"
time="2020-02-17T00:38:31-06:00" level=debug msg="gets done 1795758, sets done 0, prefix done 0"
time="2020-02-17T00:38:41-06:00" level=debug msg="gets done 1944943, sets done 0, prefix done 0"
time="2020-02-17T00:38:51-06:00" level=debug msg="gets done 2090852, sets done 0, prefix done 0"
time="2020-02-17T00:39:01-06:00" level=debug msg="gets done 2237145, sets done 0, prefix done 0"
time="2020-02-17T00:39:11-06:00" level=debug msg="gets done 2384766, sets done 0, prefix done 0"
time="2020-02-17T00:39:21-06:00" level=debug msg="gets done 2530662, sets done 0, prefix done 0"
time="2020-02-17T00:39:31-06:00" level=debug msg="gets done 2550451, sets done 1704, prefix done 0"
time="2020-02-17T00:39:41-06:00" level=debug msg="gets done 2552633, sets done 3790, prefix done 0"
time="2020-02-17T00:39:51-06:00" level=debug msg="gets done 2554655, sets done 5844, prefix done 0"
time="2020-02-17T00:40:01-06:00" level=debug msg="gets done 2557035, sets done 7936, prefix done 0"
time="2020-02-17T00:40:11-06:00" level=debug msg="gets done 2559123, sets done 9944, prefix done 0"
time="2020-02-17T00:40:21-06:00" level=debug msg="gets done 2561232, sets done 11989, prefix done 0"
time="2020-02-17T00:40:31-06:00" level=debug msg="gets done 2562985, sets done 14029, prefix done 0"
time="2020-02-17T00:40:41-06:00" level=debug msg="gets done 2565001, sets done 16049, prefix done 0"
time="2020-02-17T00:40:51-06:00" level=debug msg="gets done 2566842, sets done 18061, prefix done 0"
time="2020-02-17T00:41:01-06:00" level=debug msg="gets done 2568867, sets done 20032, prefix done 0"
time="2020-02-17T00:41:11-06:00" level=debug msg="gets done 2571041, sets done 22007, prefix done 0"
time="2020-02-17T00:41:21-06:00" level=debug msg="gets done 2573153, sets done 23966, prefix done 0"
time="2020-02-17T00:41:31-06:00" level=debug msg="gets done 2575171, sets done 25897, prefix done 0"
time="2020-02-17T00:41:41-06:00" level=debug msg="gets done 2577234, sets done 27933, prefix done 0"
time="2020-02-17T00:41:51-06:00" level=debug msg="gets done 2579403, sets done 29964, prefix done 0"
time="2020-02-17T00:42:01-06:00" level=debug msg="gets done 2581336, sets done 32036, prefix done 0"
time="2020-02-17T00:42:11-06:00" level=debug msg="gets done 2583407, sets done 33992, prefix done 0"
time="2020-02-17T00:42:21-06:00" level=debug msg="gets done 2585355, sets done 35976, prefix done 0"
