Please answer if you want to remove mem.log:
rm: remove regular file 'mem.log'? Starting server. Will Monitor and restart the server if crashes...
time="2020-02-17T00:44:14-06:00" level=info msg="starting server on port 10000..."
time="2020-02-17T00:44:14-06:00" level=info msg="Found log file, restoring cache from mem.log"
time="2020-02-17T00:44:54-06:00" level=info msg="done recovering from mem.log, read 1048576 lines, results in 1048576 valid entries."
time="2020-02-17T00:44:54-06:00" level=info msg="server started on time: 2020-02-17 00:44:54.497395058 -0600 CST m=+39.651995954"
time="2020-02-17T00:45:04-06:00" level=debug msg="gets done 65575, sets done 0, prefix done 0"
time="2020-02-17T00:45:14-06:00" level=debug msg="gets done 448987, sets done 0, prefix done 0"
time="2020-02-17T00:45:24-06:00" level=debug msg="gets done 835762, sets done 0, prefix done 0"
time="2020-02-17T00:45:34-06:00" level=debug msg="gets done 1222316, sets done 0, prefix done 0"
time="2020-02-17T00:45:44-06:00" level=debug msg="gets done 1607164, sets done 0, prefix done 0"
time="2020-02-17T00:45:54-06:00" level=debug msg="gets done 1992088, sets done 0, prefix done 0"
time="2020-02-17T00:46:04-06:00" level=debug msg="gets done 2382806, sets done 0, prefix done 0"
time="2020-02-17T00:46:14-06:00" level=debug msg="gets done 2771750, sets done 0, prefix done 0"
time="2020-02-17T00:46:24-06:00" level=debug msg="gets done 3160846, sets done 0, prefix done 0"
time="2020-02-17T00:46:34-06:00" level=debug msg="gets done 3556328, sets done 0, prefix done 0"
time="2020-02-17T00:46:44-06:00" level=debug msg="gets done 3945106, sets done 0, prefix done 0"
time="2020-02-17T00:46:54-06:00" level=debug msg="gets done 4337401, sets done 0, prefix done 0"
time="2020-02-17T00:47:04-06:00" level=debug msg="gets done 4727855, sets done 0, prefix done 0"
time="2020-02-17T00:47:14-06:00" level=debug msg="gets done 5121126, sets done 0, prefix done 0"
time="2020-02-17T00:47:24-06:00" level=debug msg="gets done 5510994, sets done 0, prefix done 0"
time="2020-02-17T00:47:34-06:00" level=debug msg="gets done 5901162, sets done 0, prefix done 0"
time="2020-02-17T00:47:44-06:00" level=debug msg="gets done 6289516, sets done 0, prefix done 0"
time="2020-02-17T00:47:54-06:00" level=debug msg="gets done 6691722, sets done 0, prefix done 0"
time="2020-02-17T00:48:04-06:00" level=debug msg="gets done 6969854, sets done 159, prefix done 0"
time="2020-02-17T00:48:14-06:00" level=debug msg="gets done 6971878, sets done 2337, prefix done 0"
time="2020-02-17T00:48:24-06:00" level=debug msg="gets done 6974046, sets done 4459, prefix done 0"
time="2020-02-17T00:48:34-06:00" level=debug msg="gets done 6976375, sets done 6601, prefix done 0"
time="2020-02-17T00:48:44-06:00" level=debug msg="gets done 6978590, sets done 8765, prefix done 0"
time="2020-02-17T00:48:54-06:00" level=debug msg="gets done 6980746, sets done 10942, prefix done 0"
time="2020-02-17T00:49:04-06:00" level=debug msg="gets done 6983395, sets done 13237, prefix done 0"
time="2020-02-17T00:49:14-06:00" level=debug msg="gets done 6985723, sets done 15440, prefix done 0"
time="2020-02-17T00:49:24-06:00" level=debug msg="gets done 6988118, sets done 17815, prefix done 0"
time="2020-02-17T00:49:34-06:00" level=debug msg="gets done 6991423, sets done 20999, prefix done 0"
time="2020-02-17T00:49:44-06:00" level=debug msg="gets done 6993719, sets done 23181, prefix done 0"
time="2020-02-17T00:49:54-06:00" level=debug msg="gets done 6995539, sets done 25069, prefix done 0"
time="2020-02-17T00:50:04-06:00" level=debug msg="gets done 6998141, sets done 28123, prefix done 0"
time="2020-02-17T00:50:14-06:00" level=debug msg="gets done 7001917, sets done 31816, prefix done 0"
time="2020-02-17T00:50:24-06:00" level=debug msg="gets done 7005600, sets done 35900, prefix done 0"
time="2020-02-17T00:50:34-06:00" level=debug msg="gets done 7008701, sets done 39163, prefix done 0"
time="2020-02-17T00:50:44-06:00" level=debug msg="gets done 7011720, sets done 41629, prefix done 0"
time="2020-02-17T00:50:54-06:00" level=debug msg="gets done 7013986, sets done 43765, prefix done 0"
time="2020-02-17T00:51:04-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:51:14-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:51:24-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:51:34-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:51:44-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:51:54-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:04-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:14-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:24-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:34-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:44-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:52:54-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:53:04-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:53:14-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
time="2020-02-17T00:53:24-06:00" level=debug msg="gets done 7016867, sets done 46344, prefix done 0"
